Year,Fuel_Type,Transmission,Mileage,Engine,Power,Price
2014,3,1,18.5,1197.0,82.9,4.74
2014,3,0,14.62,1999.0,149.92,8.85
2016,3,0,14.28,1798.0,138.03,10.11
2008,1,1,14.9,1991.0,112.2,4.25
2012,3,1,11.25,2694.0,163.7,10.95
2014,1,1,24.4,1120.0,71.0,3.85
2012,1,1,16.55,2498.0,105.0,5.5
2015,1,0,17.11,1968.0,174.33,21.43
2014,1,1,22.9,1248.0,74.0,4.25
2014,1,1,17.8,1248.0,75.0,3.3
2013,1,1,28.4,1248.0,74.0,3.85
2015,3,1,18.9,1197.0,82.0,3.6
2015,3,1,15.04,1598.0,103.2,3.99
2017,3,1,25.17,799.0,53.3,3.3
2010,3,1,20.36,1197.0,78.9,2.07
2010,1,0,13.29,1995.0,147.6,7.75
2010,3,1,18.2,998.0,67.1,2.25
2017,1,1,13.68,2393.0,147.8,16.5
2010,1,1,20.0,1399.0,68.0,2.75
2015,3,0,11.74,1796.0,186.0,26.7
2011,1,1,15.8,2148.0,170.0,10.0
2016,1,1,25.0,1396.0,69.0,2.5
2012,1,0,16.55,1968.0,140.0,13.5
2007,3,0,16.4,1497.0,78.0,1.85
2016,1,1,24.52,1248.0,88.5,8.15
2018,1,1,22.1,1396.0,88.7,10.5
2008,3,0,8.5,4806.0,500.0,14.5
2015,1,1,15.1,2179.0,140.0,9.65
2012,3,0,16.95,1197.0,78.9,3.48
2015,1,1,19.64,1461.0,108.5,6.92
2016,3,0,16.5,1198.0,86.8,6.46
2014,1,0,18.53,1968.0,187.74,29.5
2006,3,1,12.4,1998.0,132.0,4.5
2012,1,1,12.8,2494.0,102.0,11.75
2012,1,1,22.9,1248.0,74.0,3.75
2017,3,1,17.57,1193.0,88.7,4.5
2016,3,1,18.0,1198.0,86.7,4.82
2012,1,1,20.0,1399.0,68.0,2.8
2013,1,1,23.2,1248.0,73.94,3.11
2009,3,1,17.8,1497.0,117.3,3.25
2011,1,0,16.73,1995.0,218.0,13.9
2009,3,1,20.36,1197.0,78.9,2.25
2016,3,1,18.9,1197.0,82.0,5.75
2016,3,1,17.8,1198.0,86.7,5.0
2014,1,1,13.0,2982.0,168.5,16.5
2018,1,0,17.68,1968.0,174.33,39.58
2013,1,1,22.7,1498.0,89.84,5.5
2014,1,1,15.1,2179.0,140.0,8.1
2015,1,1,25.8,1498.0,98.6,3.5
2013,1,1,22.07,1199.0,73.9,2.79
2010,1,1,16.2,1493.0,110.0,3.45
2016,3,1,18.9,998.0,67.1,4.45
2010,3,1,15.26,1598.0,103.5,2.65
2011,1,1,23.0,1396.0,90.0,3.8
2014,3,1,18.5,1197.0,82.85,4.65
2017,3,1,19.83,1198.0,67.0,3.95
2010,1,0,14.94,2967.0,241.4,9.8
2009,3,1,17.0,1197.0,80.0,2.7
2010,3,1,14.0,796.0,35.0,2.41
2014,3,1,17.71,1197.0,78.9,3.9
2011,1,0,14.74,2993.0,270.9,24.0
2012,1,1,16.0,2179.0,140.0,5.75
2014,1,0,22.32,1582.0,126.32,5.25
2017,1,0,11.36,2755.0,171.5,19.25
2017,3,1,15.1,1196.0,73.0,3.91
2014,3,1,25.4,624.0,37.5,2.15
2015,1,0,22.69,1995.0,190.0,20.75
2010,3,1,13.5,1799.0,130.0,3.35
2014,1,1,12.99,2494.0,100.6,11.11
2014,1,0,23.3,1984.0,150.0,20.0
2016,3,0,19.15,1198.0,75.94,6.55
2009,3,0,10.8,2497.0,215.0,7.0
2016,1,1,24.3,1248.0,88.5,7.5
2014,1,0,15.0,2143.0,107.3,16.75
2018,1,1,22.0,1582.0,126.2,10.95
2011,3,1,18.9,998.0,67.1,2.45
2017,3,0,21.9,624.0,37.48,3.23
2014,1,1,12.05,2179.0,120.0,7.75
2009,3,0,11.7,1796.0,178.0,9.35
2013,0,1,26.6,998.0,58.16,3.25
2007,3,1,10.8,2354.0,152.0,5.25
2015,1,0,21.21,1498.0,103.2,7.25
2017,3,1,20.73,1373.0,91.1,7.47
2016,1,0,16.0,2179.0,140.0,13.25
2016,3,1,21.1,1197.0,85.8,5.81
2014,3,1,24.07,998.0,67.1,2.6
2017,3,0,19.0,2996.0,362.07,54.0
2019,3,0,17.0,1591.0,121.3,11.5
2010,3,1,19.7,796.0,46.3,1.6
2015,1,0,20.58,1995.0,143.0,17.22
2015,3,0,19.0,1199.0,88.7,6.0
2012,3,1,13.5,1799.0,130.0,3.95
2014,1,0,19.27,2143.0,170.0,17.95
2014,1,1,25.8,1498.0,98.6,3.7
2016,3,1,22.0,1197.0,81.8,5.43
2012,1,1,11.5,2982.0,171.0,13.49
2014,3,1,18.6,1199.0,76.8,2.85
2013,1,1,21.14,1498.0,103.52,4.75
2018,3,1,20.73,1373.0,91.1,9.9
2013,3,0,11.05,2894.0,444.0,37.0
2014,1,0,21.76,1995.0,190.0,26.5
2015,1,0,17.11,1968.0,174.33,23.32
2016,1,1,22.9,1248.0,74.0,6.25
2010,3,0,7.81,5461.0,362.9,30.0
2016,1,0,21.66,1498.0,103.52,9.86
2012,1,0,17.2,1968.0,138.1,8.5
2019,3,1,21.1,814.0,55.2,4.23
2012,1,1,22.07,1199.0,73.9,3.5
2016,3,1,20.63,1198.0,67.06,2.5
2013,3,1,19.4,1198.0,86.8,2.39
2013,3,0,14.8,1595.0,120.7,11.25
2015,1,1,26.0,1498.0,98.6,7.11
2016,1,1,12.99,2494.0,100.6,10.9
2017,3,1,20.4,1197.0,81.8,6.2
2012,1,1,15.1,2179.0,140.0,7.9
2014,1,1,22.7,1498.0,89.84,4.42
2012,1,1,13.0,2982.0,168.5,13.5
2013,1,0,21.5,1498.0,108.5,6.25
2010,1,1,20.0,1399.0,68.0,2.1
2015,1,0,15.3,2993.0,258.0,45.0
2017,1,0,19.27,2143.0,167.62,33.66
2012,3,1,19.4,1198.0,86.8,3.65
2013,3,1,20.36,1197.0,78.9,2.75
2016,1,0,17.9,2143.0,170.0,42.5
2019,3,1,18.9,1197.0,81.86,6.5
2012,1,0,17.68,1968.0,174.33,19.0
2013,3,0,14.4,1598.0,103.6,4.45
2017,1,0,16.6,1998.0,112.0,23.0
2014,1,1,22.54,1396.0,88.73,8.35
2014,1,0,17.68,1968.0,174.33,22.95
2012,1,1,25.44,936.0,57.6,1.5
2012,3,0,13.7,1798.0,157.75,6.89
2006,1,1,17.8,1399.0,68.0,1.45
2014,1,0,22.48,1995.0,190.0,33.5
2007,3,1,12.9,1598.0,102.5,1.25
2012,1,1,22.07,1199.0,73.9,4.2
2015,1,1,19.98,1461.0,108.5,6.75
2014,1,0,13.0,2143.0,201.1,32.0
2017,3,1,21.4,1197.0,83.1,7.5
2012,1,1,22.32,1582.0,126.32,4.6
2017,3,1,19.81,1086.0,68.05,4.04
2016,1,1,15.4,1997.0,120.0,10.31
2018,1,0,12.7,2179.0,187.7,55.76
2010,1,1,20.0,1399.0,68.0,2.6
2016,1,1,25.47,1248.0,88.5,8.5
2014,1,1,25.8,1498.0,98.6,3.5
2015,3,1,20.36,1197.0,78.9,3.55
2013,1,1,25.8,1498.0,98.6,3.25
2008,1,1,17.5,1896.0,106.0,4.5
2014,1,1,19.87,1461.0,83.8,5.35
2017,1,1,17.45,1493.0,100.0,6.5
2016,1,1,24.3,1248.0,88.5,9.0
2016,3,1,18.6,1197.0,81.83,6.0
2009,3,1,14.7,1390.0,85.0,2.75
2010,3,1,15.64,1193.0,64.1,1.5
2015,1,0,15.73,1968.0,174.33,19.9
2014,3,0,14.7,1798.0,177.5,10.0
2014,1,1,23.59,1364.0,67.06,3.0
2014,3,0,14.8,1595.0,120.7,11.96
2013,1,1,27.4,1498.0,98.6,3.25
2012,1,1,22.32,1582.0,126.32,4.75
2014,1,1,20.46,1461.0,83.8,5.95
2015,3,1,15.29,1591.0,121.3,8.15
2016,3,0,20.51,998.0,67.0,4.22
2010,3,0,11.74,1796.0,186.0,10.5
2012,1,0,11.8,2967.0,246.7,45.0
2012,3,1,19.81,1086.0,68.05,2.9
2017,3,0,14.3,1598.0,103.52,8.9
2017,3,0,14.67,1798.0,177.46,26.0
2018,3,1,17.19,1197.0,81.86,8.22
2014,1,1,25.8,1498.0,98.6,3.5
2004,3,1,18.9,998.0,67.1,1.25
2013,1,1,21.03,1461.0,65.0,3.7
2018,1,0,19.27,2143.0,167.62,39.41
2013,3,1,22.5,998.0,67.04,2.65
2015,1,1,19.01,1461.0,108.5,8.92
2017,3,0,16.82,1998.0,189.08,35.67
2007,1,1,17.2,1396.0,53.5,0.85
2016,3,1,18.6,1199.0,76.8,3.32
2012,1,1,22.07,1199.0,73.9,3.6
2016,1,1,22.9,1248.0,74.0,6.8
2012,1,1,20.0,1399.0,68.05,2.5
2019,1,0,11.36,2755.0,171.5,19.64
2011,1,0,11.72,2199.0,194.3,7.0
2011,3,1,17.4,1497.0,117.3,3.87
2018,3,1,18.6,1197.0,81.83,6.27
2015,1,0,19.27,2143.0,167.62,18.12
2013,1,1,25.44,936.0,57.6,2.65
2015,1,1,22.54,1396.0,88.73,7.2
2015,1,1,12.99,2494.0,100.6,14.3
2013,1,1,20.77,1248.0,88.76,6.9
2014,1,1,12.8,2494.0,102.0,10.75
2016,3,1,17.8,1497.0,117.3,8.09
2014,1,0,17.05,1995.0,184.0,18.5
2017,1,1,24.0,1120.0,70.0,4.75
2016,1,1,28.09,1248.0,88.5,8.45
2012,1,1,20.5,1598.0,103.6,3.5
2006,1,1,13.1,1493.0,82.0,1.8
2014,1,1,19.91,1498.0,103.6,3.7
2017,3,1,18.7,1199.0,88.7,7.17
2010,3,1,19.81,1086.0,68.05,1.75
2018,1,0,16.38,1995.0,183.0,21.99
2017,1,1,13.68,2393.0,147.8,18.65
2011,3,1,19.7,796.0,35.0,1.85
2017,3,1,20.4,1197.0,81.8,5.95
2014,3,1,18.9,1197.0,82.0,3.75
2012,1,1,22.9,1248.0,74.0,3.75
2008,1,1,22.0,1582.0,126.2,2.6
2010,3,1,17.0,1197.0,80.0,2.8
2017,1,0,11.57,2987.0,254.79,61.29
2014,1,1,15.8,2148.0,170.0,18.0
2014,1,1,23.2,1248.0,73.94,4.35
2016,1,1,19.67,1582.0,126.2,13.75
2010,3,1,19.0,998.0,66.1,2.0
2016,1,1,19.64,1461.0,108.45,10.0
2010,1,1,17.8,1248.0,76.0,1.65
2017,1,0,16.55,2993.0,258.0,45.77
2010,3,1,20.36,1197.0,78.9,3.25
2016,1,1,12.8,2494.0,102.0,12.8
2002,3,1,17.3,993.0,60.0,0.55
2018,1,1,28.4,1248.0,74.0,7.15
2013,1,1,12.05,2179.0,120.0,7.0
2017,1,1,22.95,1248.0,74.0,3.75
2017,3,1,18.88,999.0,123.24,8.5
2012,1,1,23.4,1248.0,74.0,4.35
2016,3,1,22.74,796.0,47.3,3.26
2011,3,1,17.0,1497.0,118.0,4.21
2018,1,0,12.07,2967.0,241.4,70.36
2009,1,0,17.0,1896.0,105.0,2.95
2012,3,1,17.1,1591.0,121.3,4.28
2009,3,0,16.8,1497.0,118.0,3.57
2013,1,1,21.9,1396.0,88.8,3.11
2014,3,0,15.0,1396.0,98.6,5.96
2011,1,1,20.54,1598.0,103.6,4.7
2014,3,1,17.4,1497.0,117.3,6.9
2018,1,1,22.95,1248.0,74.0,5.25
2015,1,0,18.48,1995.0,177.0,28.0
2009,3,1,18.9,1061.0,67.0,1.35
2015,3,1,18.2,1199.0,88.7,4.85
2012,1,1,15.0,1896.0,105.0,6.7
2010,3,1,20.36,1197.0,78.9,3.1
2015,1,0,19.27,2143.0,170.0,18.64
2012,3,1,20.36,1197.0,78.9,2.8
2016,1,1,13.68,2393.0,147.8,20.25
2015,1,0,17.68,1968.0,174.33,26.78
2010,1,1,12.99,2494.0,100.6,8.26
2015,3,1,16.47,1198.0,73.9,3.89
2011,3,1,20.92,998.0,67.1,2.1
2017,3,0,18.0,1497.0,117.3,12.69
2013,1,1,17.0,1405.0,70.0,2.58
2014,1,0,17.68,1968.0,174.33,20.77
2015,1,0,17.9,2143.0,136.0,20.26
2014,3,0,23.1,998.0,67.04,4.25
2017,1,0,17.9,2143.0,201.15,57.0
2017,1,0,12.7,2179.0,187.7,44.0
2011,1,1,20.54,1598.0,103.6,3.65
2012,3,1,14.0,796.0,35.0,2.05
2012,3,1,18.5,1198.0,86.8,3.13
2000,1,1,14.07,2956.0,83.1,1.5
2012,1,1,18.0,1248.0,75.0,2.85
2012,3,1,18.9,998.0,67.1,2.65
2015,1,1,16.0,2179.0,140.0,10.6
2008,1,1,17.1,1396.0,70.0,1.25
2018,3,1,16.02,1373.0,93.7,8.25
2011,3,0,11.7,2354.0,177.6,4.45
2012,1,1,19.3,1248.0,73.9,3.7
2009,1,1,17.8,1399.0,68.0,2.8
2008,3,1,17.7,1497.0,78.0,1.8
2014,1,0,17.68,1968.0,174.33,21.95
2011,1,0,9.52,2993.0,313.0,49.0
2017,1,0,14.75,2967.0,245.0,62.67
2008,0,1,26.3,998.0,67.1,1.4
2012,1,1,23.0,1396.0,90.0,5.5
2009,3,0,16.95,1197.0,78.9,2.95
2016,3,0,19.0,1199.0,88.7,6.86
2015,1,1,25.2,1248.0,74.0,6.15
2011,3,1,18.5,1197.0,82.85,3.3
2011,3,1,16.47,1198.0,73.9,2.55
2009,3,1,19.7,796.0,46.3,1.5
2004,3,0,11.3,1794.0,125.0,2.5
2006,3,1,19.7,796.0,46.3,1.4
2012,1,1,21.12,1248.0,88.8,3.4
2012,3,1,19.7,796.0,46.3,2.25
2013,1,0,19.3,1968.0,141.0,7.5
2008,3,0,11.3,1794.0,125.0,2.8
2016,3,1,18.6,1197.0,81.83,7.66
2016,1,1,24.3,1248.0,88.5,7.15
2010,3,1,17.0,1497.0,118.0,3.5
2014,1,1,18.0,1248.0,75.0,3.5
2013,1,1,25.8,1498.0,98.6,3.45
2016,3,1,21.1,814.0,55.2,3.55
2015,1,0,21.76,1995.0,190.0,25.99
2012,1,1,22.32,1582.0,126.32,5.25
2013,1,1,21.02,1248.0,88.8,2.9
2005,3,0,14.45,1984.0,227.0,2.05
2017,3,1,24.07,998.0,67.1,3.75
2014,1,1,22.7,1498.0,89.84,6.75
2011,3,1,18.0,995.0,62.0,0.95
2017,1,0,19.33,1999.0,177.0,52.0
2007,3,1,13.1,1997.0,141.1,3.91
2019,3,0,14.67,1798.0,177.46,27.3
2009,3,1,20.36,1197.0,78.9,2.7
2013,1,1,22.9,1248.0,74.0,3.5
2016,3,0,18.5,1197.0,83.14,6.2
2011,1,1,23.08,1461.0,63.1,2.75
2015,1,1,23.4,1248.0,74.0,3.25
2012,1,1,17.8,1399.0,67.0,3.25
2003,3,1,17.3,993.0,60.0,0.65
2017,3,1,13.8,1998.0,192.0,35.0
2014,1,1,23.59,1364.0,67.05,3.25
2018,3,1,24.7,796.0,47.3,2.9
2011,3,1,18.9,796.0,47.0,2.9
2009,1,0,11.0,2993.0,235.0,17.75
2015,3,0,11.07,2496.0,179.5,8.25
2015,3,0,18.9,1197.0,82.0,5.77
2017,1,1,24.3,1248.0,88.5,9.49
2008,1,0,12.07,2967.0,241.4,12.95
2015,1,0,17.9,2143.0,136.0,20.0
2007,3,1,16.1,796.0,37.0,1.0
2015,1,1,20.45,1461.0,83.8,7.1
2017,1,1,21.43,1364.0,87.2,16.5
2014,1,1,15.8,2148.0,170.0,26.0
2010,1,1,21.1,1248.0,73.9,3.2
2017,3,0,16.0,1497.0,117.3,9.48
2015,1,1,24.4,1120.0,71.0,4.0
2014,1,0,14.21,2143.0,203.0,26.5
2014,3,0,14.8,1595.0,120.7,11.77
2017,1,0,15.0,2143.0,204.0,37.0
2016,3,1,17.8,1497.0,117.3,8.75
2011,3,1,17.0,1497.0,118.0,3.75
2010,3,1,16.2,1599.0,103.2,2.5
2017,3,0,13.5,1999.0,246.74,34.5
2015,3,1,18.0,1198.0,86.7,4.65
2015,3,0,18.86,1598.0,122.0,32.0
2017,1,0,13.5,2987.0,282.0,62.81
2014,3,1,21.1,814.0,55.2,3.25
2014,3,1,20.51,998.0,67.04,3.1
2011,1,1,21.1,1248.0,73.9,3.91
2011,1,0,16.07,1995.0,181.0,11.0
2014,1,1,13.49,2179.0,138.03,3.5
2014,1,0,20.38,1968.0,143.0,16.5
2012,1,0,12.7,2179.0,187.7,30.0
2010,1,0,12.0,2987.0,224.0,28.0
2018,1,0,13.5,2477.0,175.56,28.0
2010,3,1,19.7,796.0,46.3,0.92
2013,3,1,14.0,1061.0,64.0,2.75
2017,1,0,12.7,2179.0,187.7,53.83
2011,3,1,17.01,1591.0,121.3,4.95
2013,1,0,16.73,2993.0,218.0,33.5
2013,1,0,14.74,2993.0,270.9,27.95
2010,3,0,13.7,1798.0,157.75,7.25
2017,1,0,15.73,1968.0,174.33,25.71
2014,1,0,12.7,2179.0,187.7,29.67
2013,1,0,14.84,2143.0,170.0,19.0
2017,1,1,15.4,2179.0,120.0,13.05
2015,1,0,21.76,1995.0,190.0,25.5
2017,3,1,15.4,1497.0,117.3,8.5
2010,1,0,16.0,2400.0,215.0,7.25
2005,3,1,13.2,1495.0,94.0,0.8
2017,3,1,17.19,1197.0,81.86,6.9
2018,3,0,11.5,2996.0,367.0,70.99
2015,3,1,21.1,814.0,55.2,2.25
2018,3,1,18.9,1197.0,81.86,5.5
2013,3,1,13.0,1493.0,100.0,4.35
2010,3,1,16.47,1198.0,73.9,2.25
2016,3,0,15.26,1798.0,187.74,24.5
2017,3,1,15.29,1591.0,121.3,12.03
2011,3,0,11.74,1796.0,186.0,8.5
2014,3,0,16.82,1998.0,189.08,28.5
2013,1,1,23.59,1364.0,67.04,5.75
2014,3,1,19.4,1198.0,86.8,3.2
2018,3,0,21.4,1197.0,83.1,9.89
2012,1,0,20.0,1968.0,138.1,6.58
2018,3,1,21.1,814.0,55.2,4.06
2019,1,1,20.37,1461.0,108.45,13.37
2011,1,0,16.2,2993.0,258.0,25.82
2016,3,1,22.74,796.0,47.3,3.74
2015,1,0,16.8,1984.0,150.0,22.0
2007,3,1,18.9,998.0,67.1,1.45
2008,3,1,17.7,1497.0,78.0,2.0
2017,0,1,15.1,1196.0,73.0,4.7
2014,3,1,13.7,1399.0,98.79,3.75
2016,1,1,15.96,2523.0,62.1,7.7
2014,3,1,21.1,814.0,55.2,2.6
2017,3,0,13.0,1591.0,121.3,13.77
2017,3,1,16.09,1598.0,103.5,7.1
2008,3,0,12.9,1799.0,130.0,2.65
2014,1,1,22.3,1248.0,74.0,2.5
2013,1,1,16.0,2179.0,140.0,7.53
2017,3,1,18.6,1197.0,81.83,7.98
2014,1,0,14.16,1968.0,174.3,39.0
2011,3,1,18.5,1197.0,85.8,2.25
2010,3,1,13.17,1999.0,114.0,3.85
2015,1,1,12.8,2494.0,102.0,13.5
2016,1,1,27.62,793.0,47.0,3.5
2018,1,1,25.1,1248.0,88.5,8.92
2016,1,0,15.17,1968.0,181.0,20.37
2016,1,0,21.76,1995.0,190.0,36.5
2016,1,0,11.33,4134.0,335.2,48.91
2016,3,1,18.6,1197.0,81.83,7.2
2012,1,1,19.01,1461.0,108.45,5.99
2016,1,1,24.4,1120.0,71.0,5.25
2014,1,1,22.7,1498.0,89.84,6.5
2013,3,1,16.47,1198.0,73.9,4.4
2017,1,1,24.0,1120.0,70.0,4.6
2013,1,1,21.12,1248.0,88.8,2.95
2011,3,1,17.0,1497.0,118.0,3.26
2008,3,1,17.92,1086.0,62.1,2.22
2012,1,1,12.99,2494.0,100.0,10.5
2017,1,1,28.09,1248.0,88.5,8.26
2013,1,1,12.55,2982.0,169.0,14.45
2018,3,0,12.6,1950.0,191.34,51.43
2014,1,1,15.8,2148.0,170.0,23.0
2012,1,1,17.72,1968.0,108.49,5.5
2015,3,1,18.9,1197.0,82.0,4.5
2018,3,1,18.16,1196.0,86.8,6.8
2013,3,1,16.8,1395.0,138.02,8.75
2015,1,1,19.87,1461.0,83.8,7.0
2015,1,0,15.68,1999.0,177.0,33.5
2011,1,1,20.0,1399.0,68.0,2.25
2008,1,0,12.8,2953.0,156.0,4.24
2017,1,1,12.55,2982.0,168.5,28.42
2012,1,1,22.07,1199.0,73.9,2.75
2011,1,1,23.2,1248.0,73.94,3.0
2013,1,1,23.08,1461.0,63.1,3.55
2013,1,1,22.32,1582.0,126.32,4.8
2011,3,0,10.8,2497.0,150.0,13.5
2017,1,0,11.0,2987.0,258.0,56.0
2004,3,0,12.0,2354.0,187.4,3.99
2016,1,0,17.01,1582.0,126.2,15.5
2010,3,1,19.81,1086.0,68.05,2.32
2016,1,0,20.0,2143.0,136.0,18.58
2014,3,1,16.02,1373.0,93.7,5.5
2006,1,1,18.7,1896.0,66.0,3.2
2015,3,1,18.0,1198.0,86.7,4.0
2004,3,1,17.3,993.0,60.0,1.6
2013,3,1,15.5,1586.0,103.3,4.15
2014,3,0,16.5,1198.0,86.8,4.25
2011,3,1,18.9,998.0,67.1,2.6
2008,3,0,12.1,2362.0,164.7,3.43
2012,3,1,18.6,1199.0,79.4,2.55
2017,1,0,12.55,2982.0,168.5,32.0
2014,1,1,22.7,1498.0,89.84,6.25
2010,1,1,17.8,1248.0,75.0,3.6
2010,1,0,13.5,2987.0,282.0,18.5
2015,3,1,17.3,1497.0,117.3,4.25
2017,3,1,18.9,1197.0,82.0,4.8
2015,1,0,16.0,2179.0,140.0,13.0
2012,3,1,14.83,1598.0,105.0,2.25
2009,3,1,17.92,1086.0,62.1,2.3
2019,3,1,15.29,1591.0,121.3,13.56
2017,1,1,15.4,1997.0,120.0,12.25
2013,1,1,20.5,1598.0,103.5,3.76
2015,1,1,19.01,1461.0,108.45,8.58
2011,1,0,11.7,2993.0,245.0,27.5
2013,3,1,17.6,1496.0,88.73,4.95
2012,3,1,22.5,998.0,67.04,3.3
2016,3,1,15.8,1591.0,121.3,8.0
2014,3,1,23.1,998.0,67.04,2.79
2017,1,0,12.7,2179.0,187.7,45.64
2014,3,1,18.6,1199.0,76.8,2.55
2014,3,1,25.4,624.0,37.5,1.0
2017,1,0,17.68,1968.0,174.33,37.56
2009,1,0,11.0,2987.0,198.5,9.29
2019,3,1,22.0,1197.0,81.8,6.37
2013,3,1,14.6,1368.0,112.0,2.98
2017,3,1,20.4,1197.0,81.8,5.75
2010,1,1,11.5,2982.0,171.0,13.0
2014,3,1,16.02,1373.0,93.7,6.8
2010,3,0,12.05,1995.0,154.0,10.49
2014,3,1,16.02,1373.0,93.7,5.6
2010,3,0,16.8,1497.0,118.0,2.85
2013,1,1,14.66,2199.0,194.3,8.36
2005,1,1,17.0,1405.0,70.0,1.0
2010,3,0,10.93,2497.0,204.0,10.75
2011,1,1,19.3,1248.0,73.9,3.85
2012,1,1,17.8,1399.0,67.0,3.0
2015,3,0,18.0,1497.0,117.3,9.6
2012,1,1,13.0,2982.0,168.5,13.25
2016,3,1,18.0,1198.0,86.7,5.75
2014,1,1,22.54,1396.0,88.73,6.75
2013,1,1,18.2,1248.0,73.8,4.85
2009,3,0,12.6,1586.0,103.2,2.85
2012,1,1,12.99,2494.0,100.0,9.51
2012,1,0,18.48,1995.0,177.0,18.5
2015,1,1,19.01,1461.0,108.45,6.75
2017,1,0,20.68,1995.0,190.0,29.4
2009,3,1,17.7,1497.0,78.0,3.29
2016,1,1,28.09,1248.0,88.5,9.5
2010,3,1,17.5,1298.0,85.8,2.2
2012,1,1,15.1,2179.0,140.0,6.5
2007,3,1,13.5,1799.0,130.0,4.9
2013,1,1,25.47,1248.0,88.5,6.75
2013,1,1,23.59,1364.0,67.04,3.8
2013,3,0,9.9,1984.0,207.8,29.5
2017,1,1,21.13,1498.0,108.4,10.5
2015,1,1,20.14,1498.0,88.8,6.2
2009,1,0,17.0,1896.0,105.0,5.0
2007,1,1,19.2,1461.0,65.0,2.3
2016,1,0,11.36,2755.0,171.5,17.0
2014,1,0,18.88,1995.0,184.0,25.5
2015,1,1,27.3,1498.0,98.6,5.65
2015,1,1,25.8,1498.0,98.6,5.6
2015,1,0,16.36,2179.0,187.7,29.98
2016,1,1,26.59,1248.0,74.0,7.39
2018,1,1,17.1,1956.0,170.0,19.0
2010,3,1,12.5,1794.0,132.0,5.0
2011,3,1,17.0,1497.0,118.0,3.35
2013,3,1,18.6,1197.0,85.8,4.45
2019,1,0,22.32,1582.0,126.32,8.31
2012,1,1,15.96,2523.0,62.1,6.0
2014,1,1,22.9,1248.0,74.0,5.25
2012,1,0,17.68,1968.0,174.33,12.3
2004,3,1,13.8,1299.0,70.0,1.5
2018,1,1,20.14,1498.0,88.0,8.12
2012,1,1,13.6,2523.0,63.0,6.12
2017,1,1,25.1,1498.0,98.6,10.88
2014,3,1,18.2,1199.0,82.5,3.5
2016,3,1,18.6,1197.0,81.83,6.15
2016,1,0,17.05,1995.0,184.0,33.0
2012,1,0,15.06,1995.0,177.0,13.5
2015,1,0,12.55,2982.0,168.5,17.11
2014,1,0,11.33,4134.0,335.2,29.77
2013,1,1,20.77,1248.0,88.76,5.95
2015,3,1,18.5,1197.0,80.0,5.75
2006,3,0,10.13,3498.0,364.9,19.0
2014,1,1,20.45,1461.0,83.8,4.75
2013,1,1,17.21,1493.0,100.0,3.3
2013,1,0,12.55,2982.0,168.5,16.5
2014,1,0,15.97,2993.0,258.0,44.0
2011,1,1,19.3,1248.0,73.9,4.39
2018,1,1,25.2,1248.0,74.0,6.2
2016,3,0,13.53,1984.0,177.01,24.22
2008,1,1,10.5,2835.0,107.2,5.45
2016,1,0,16.36,2179.0,187.7,44.0
2019,1,0,11.36,2755.0,171.5,24.82
2015,1,0,19.3,1968.0,141.0,11.69
2018,3,0,14.28,1798.0,138.03,20.0
2010,3,1,19.7,796.0,35.0,1.45
2018,1,0,17.9,2143.0,170.0,48.5
2016,1,0,21.5,1498.0,108.5,9.45
