Year,Kilometers_Driven,Fuel_Type,Transmission,Mileage,Power,Price
2012,65000,1,1,16.0,140.0,5.75
2014,40000,1,0,22.32,126.32,5.25
2017,30000,1,0,11.36,171.5,19.25
2017,38053,3,1,15.1,73.0,3.91
2014,25500,3,1,25.4,37.5,2.15
2015,56087,1,0,22.69,190.0,20.75
2010,71088,3,1,13.5,130.0,3.35
2014,55000,1,1,12.99,100.6,11.11
2014,32700,1,0,23.3,150.0,20.0
2016,39882,3,0,19.15,75.94,6.55
2016,55000,1,1,24.3,88.5,7.5
2014,53753,1,0,15.0,107.3,16.75
2018,10250,1,1,22.0,126.2,10.95
2011,43874,3,1,18.9,67.1,2.45
2017,32684,3,0,21.9,37.48,3.23
2014,42000,1,1,12.05,120.0,7.75
2009,28352,3,0,11.7,178.0,9.35
2013,89900,0,1,26.6,58.16,3.25
2007,47700,3,1,10.8,152.0,5.25
2015,55000,1,0,21.21,103.2,7.25
2017,44285,3,1,20.73,91.1,7.47
2016,54000,1,0,16.0,140.0,13.25
2016,30232,3,1,21.1,85.8,5.81
2014,88500,3,1,24.07,67.1,2.6
2019,12645,3,0,17.0,121.3,11.5
2010,94385,3,1,19.7,46.3,1.6
2015,31821,1,0,20.58,143.0,17.22
2015,12000,3,0,19.0,88.7,6.0
2012,88578,3,1,13.5,130.0,3.95
2014,44965,1,0,19.27,170.0,17.95
2014,45044,1,1,25.8,98.6,3.7
2016,34204,3,1,22.0,81.8,5.43
2012,91235,1,1,11.5,171.0,13.49
2014,38800,3,1,18.6,76.8,2.85
2013,83000,1,1,21.14,103.52,4.75
2018,41283,3,1,20.73,91.1,9.9
2014,48000,1,0,21.76,190.0,26.5
2015,48214,1,0,17.11,174.33,23.32
2016,35000,1,1,22.9,74.0,6.25
2016,54620,1,0,21.66,103.52,9.86
2019,14322,3,1,21.1,55.2,4.23
2012,65634,1,1,22.07,73.9,3.5
2016,6000,3,1,20.63,67.06,2.5
2013,33280,3,1,19.4,86.8,2.39
2013,29000,3,0,14.8,120.7,11.25
2015,42831,1,1,26.0,98.6,7.11
2016,90000,1,1,12.99,100.6,10.9
2017,24005,3,1,20.4,81.8,6.2
2012,32792,1,1,15.1,140.0,7.9
2013,65000,1,0,21.5,108.5,6.25
2010,66123,1,1,20.0,68.0,2.1
2017,23550,1,0,19.27,167.62,33.66
2012,45000,3,1,19.4,86.8,3.65
2013,60000,3,1,20.36,78.9,2.75
2016,44414,1,0,17.9,170.0,42.5
2019,1000,3,1,18.9,81.86,6.5
2012,62500,1,0,17.68,174.33,19.0
2013,21000,3,0,14.4,103.6,4.45
2017,8525,1,0,16.6,112.0,23.0
2014,29000,1,1,22.54,88.73,8.35
2014,40000,1,0,17.68,174.33,22.95
2012,88000,1,1,25.44,57.6,1.5
2012,53537,3,0,13.7,157.75,6.89
2014,51000,1,0,22.48,190.0,33.5
2007,118500,3,1,12.9,102.5,1.25
2012,63000,1,1,22.07,73.9,4.2
2015,25000,1,1,19.98,108.5,6.75
2014,37382,1,0,13.0,201.1,32.0
2017,24773,3,1,21.4,83.1,7.5
2012,62000,1,1,22.32,126.32,4.6
2017,52340,3,1,19.81,68.05,4.04
2016,56739,1,1,15.4,120.0,10.31
2018,36091,1,0,12.7,187.7,55.76
2010,120000,1,1,20.0,68.0,2.6
2016,33000,1,1,25.47,88.5,8.5
2014,52000,1,1,25.8,98.6,3.5
2015,43571,3,1,20.36,78.9,3.55
2013,50000,1,1,25.8,98.6,3.25
2008,113000,1,1,17.5,106.0,4.5
2014,90000,1,1,19.87,83.8,5.35
2017,29000,1,1,17.45,100.0,6.5
2016,20000,1,1,24.3,88.5,9.0
2016,61012,3,1,18.6,81.83,6.0
2009,87459,3,1,14.7,85.0,2.75
2010,70500,3,1,15.64,64.1,1.5
2015,64103,1,0,15.73,174.33,19.9
2014,76000,3,0,14.7,177.5,10.0
2014,104000,1,1,23.59,67.06,3.0
2014,37245,3,0,14.8,120.7,11.96
2013,45000,1,1,27.4,98.6,3.25
2012,117837,1,1,22.32,126.32,4.75
2014,30000,1,1,20.46,83.8,5.95
2015,27057,3,1,15.29,121.3,8.15
2016,8500,3,0,20.51,67.0,4.22
2010,30500,3,0,11.74,186.0,10.5
2012,44000,3,1,19.81,68.05,2.9
2017,10500,3,0,14.3,103.52,8.9
2017,26000,3,0,14.67,177.46,26.0
2018,25166,3,1,17.19,81.86,8.22
2014,64000,1,1,25.8,98.6,3.5
2013,107000,1,1,21.03,65.0,3.7
2018,29161,1,0,19.27,167.62,39.41
2013,32000,3,1,22.5,67.04,2.65
2015,46173,1,1,19.01,108.5,8.92
2017,26327,3,0,16.82,189.08,35.67
2016,60813,3,1,18.6,76.8,3.32
2012,45000,1,1,22.07,73.9,3.6
2016,64000,1,1,22.9,74.0,6.8
2012,41284,1,1,20.0,68.05,2.5
2019,14165,1,0,11.36,171.5,19.64
2011,67000,1,0,11.72,194.3,7.0
2011,32572,3,1,17.4,117.3,3.87
2018,14960,3,1,18.6,81.83,6.27
2015,55980,1,0,19.27,167.62,18.12
2013,74000,1,1,25.44,57.6,2.65
2015,56847,1,1,22.54,88.73,7.2
2015,121374,1,1,12.99,100.6,14.3
2013,52000,1,1,20.77,88.76,6.9
2014,118000,1,1,12.8,102.0,10.75
2016,33915,3,1,17.8,117.3,8.09
2014,82002,1,0,17.05,184.0,18.5
2017,33000,1,1,24.0,70.0,4.75
2016,34000,1,1,28.09,88.5,8.45
2012,55000,1,1,20.5,103.6,3.5
2014,60000,1,1,19.91,103.6,3.7
2017,49575,3,1,18.7,88.7,7.17
2010,83000,3,1,19.81,68.05,1.75
2018,51346,1,0,16.38,183.0,21.99
2017,43000,1,1,13.68,147.8,18.65
2011,35000,3,1,19.7,35.0,1.85
2017,27872,3,1,20.4,81.8,5.95
2014,16514,3,1,18.9,82.0,3.75
2012,120000,1,1,22.9,74.0,3.75
2010,52000,3,1,17.0,80.0,2.8
2014,57000,1,1,15.8,170.0,18.0
2014,88500,1,1,23.2,73.94,4.35
2016,28000,1,1,19.67,126.2,13.75
2010,67000,3,1,19.0,66.1,2.0
2016,26000,1,1,19.64,108.45,10.0
2010,120000,1,1,17.8,76.0,1.65
2010,36000,3,1,20.36,78.9,3.25
2016,47000,1,1,12.8,102.0,12.8
2018,31025,1,1,28.4,74.0,7.15
2013,105000,1,1,12.05,120.0,7.0
2017,121900,1,1,22.95,74.0,3.75
2017,22695,3,1,18.88,123.24,8.5
2012,73000,1,1,23.4,74.0,4.35
2016,32227,3,1,22.74,47.3,3.26
2011,55000,3,1,17.0,118.0,4.21
2009,48000,1,0,17.0,105.0,2.95
2012,54308,3,1,17.1,121.3,4.28
2009,78442,3,0,16.8,118.0,3.57
2013,46000,1,1,21.9,88.8,3.11
2014,45051,3,0,15.0,98.6,5.96
2011,69000,1,1,20.54,103.6,4.7
2014,49000,3,1,17.4,117.3,6.9
2018,45000,1,1,22.95,74.0,5.25
2015,64000,1,0,18.48,177.0,28.0
2009,60000,3,1,18.9,67.0,1.35
2015,62178,3,1,18.2,88.7,4.85
2012,58006,1,1,15.0,105.0,6.7
2010,74000,3,1,20.36,78.9,3.1
2015,77771,1,0,19.27,170.0,18.64
2012,45275,3,1,20.36,78.9,2.8
2016,48000,1,1,13.68,147.8,20.25
2015,31652,1,0,17.68,174.33,26.78
2010,109000,1,1,12.99,100.6,8.26
2015,31978,3,1,16.47,73.9,3.89
2011,70000,3,1,20.92,67.1,2.1
2017,15000,3,0,18.0,117.3,12.69
2013,59138,1,1,17.0,70.0,2.58
2014,61726,1,0,17.68,174.33,20.77
2015,48000,1,0,17.9,136.0,20.26
2014,77815,3,0,23.1,67.04,4.25
2017,29000,1,0,17.9,201.15,57.0
2017,44000,1,0,12.7,187.7,44.0
2011,108626,1,1,20.54,103.6,3.65
2012,71791,3,1,14.0,35.0,2.05
2012,91931,3,1,18.5,86.8,3.13
2012,91183,1,1,18.0,75.0,2.85
2012,65000,3,1,18.9,67.1,2.65
2015,88428,1,1,16.0,140.0,10.6
2018,18000,3,1,16.02,93.7,8.25
2011,60000,3,0,11.7,177.6,4.45
2012,48000,1,1,19.3,73.9,3.7
2008,40000,3,1,17.7,78.0,1.8
2014,51495,1,0,17.68,174.33,21.95
2008,42496,0,1,26.3,67.1,1.4
2012,83000,1,1,23.0,90.0,5.5
2009,37000,3,0,16.95,78.9,2.95
2016,28503,3,0,19.0,88.7,6.86
2015,76496,1,1,25.2,74.0,6.15
2011,79152,3,1,18.5,82.85,3.3
2011,32000,3,1,16.47,73.9,2.55
2009,35000,3,1,19.7,46.3,1.5
2006,56000,3,1,19.7,46.3,1.4
2012,73000,1,1,21.12,88.8,3.4
2012,38000,3,1,19.7,46.3,2.25
2008,80000,3,0,11.3,125.0,2.8
2016,24973,3,1,18.6,81.83,7.66
2016,45000,1,1,24.3,88.5,7.15
2010,87430,3,1,17.0,118.0,3.5
2013,57000,1,1,25.8,98.6,3.45
2016,27904,3,1,21.1,55.2,3.55
2015,30717,1,0,21.76,190.0,25.99
2012,80000,1,1,22.32,126.32,5.25
2013,47304,1,1,21.02,88.8,2.9
2017,30000,3,1,24.07,67.1,3.75
2014,68000,1,1,22.7,89.84,6.75
2011,21000,3,1,18.0,62.0,0.95
2017,21000,1,0,19.33,177.0,52.0
2007,119000,3,1,13.1,141.1,3.91
2019,13747,3,0,14.67,177.46,27.3
2013,70000,1,1,22.9,74.0,3.5
2016,18000,3,0,18.5,83.14,6.2
2011,83000,1,1,23.08,63.1,2.75
2012,63400,1,1,17.8,67.0,3.25
2017,8350,3,1,13.8,192.0,35.0
2014,45000,1,1,23.59,67.05,3.25
2018,26200,3,1,24.7,47.3,2.9
2011,11000,3,1,18.9,47.0,2.9
2015,74000,3,0,11.07,179.5,8.25
2015,37081,3,0,18.9,82.0,5.77
2017,39000,1,1,24.3,88.5,9.49
2015,38000,1,0,17.9,136.0,20.0
2007,72000,3,1,16.1,37.0,1.0
2015,93000,1,1,20.45,83.8,7.1
2017,5900,1,1,21.43,87.2,16.5
2014,25000,1,1,15.8,170.0,26.0
2010,68000,1,1,21.1,73.9,3.2
2017,35676,3,0,16.0,117.3,9.48
2015,74310,1,1,24.4,71.0,4.0
2014,59364,1,0,14.21,203.0,26.5
2014,41380,3,0,14.8,120.7,11.77
2016,28000,3,1,17.8,117.3,8.75
2011,93982,3,1,17.0,118.0,3.75
2010,95000,3,1,16.2,103.2,2.5
2015,52516,3,1,18.0,86.7,4.65
2015,20000,3,0,18.86,122.0,32.0
2014,37000,3,1,21.1,55.2,3.25
2014,17400,3,1,20.51,67.04,3.1
2011,90207,1,1,21.1,73.9,3.91
2011,89616,1,0,16.07,181.0,11.0
2014,85000,1,1,13.49,138.03,3.5
2014,79271,1,0,20.38,143.0,16.5
2012,56000,1,0,12.7,187.7,30.0
2018,12000,1,0,13.5,175.56,28.0
2013,53000,3,1,14.0,64.0,2.75
2017,34990,1,0,12.7,187.7,53.83
2011,49768,3,1,17.01,121.3,4.95
2010,57000,3,0,13.7,157.75,7.25
2017,37542,1,0,15.73,174.33,25.71
2014,95649,1,0,12.7,187.7,29.67
2013,35299,1,0,14.84,170.0,19.0
2017,28464,1,1,15.4,120.0,13.05
2015,41000,1,0,21.76,190.0,25.5
2017,9000,3,1,15.4,117.3,8.5
2017,40250,3,1,17.19,81.86,6.9
2015,20800,3,1,21.1,55.2,2.25
2018,40322,3,1,18.9,81.86,5.5
2013,52576,3,1,13.0,100.0,4.35
2010,55000,3,1,16.47,73.9,2.25
2016,47000,3,0,15.26,187.74,24.5
2017,23163,3,1,15.29,121.3,12.03
2011,50000,3,0,11.74,186.0,8.5
2014,11900,3,0,16.82,189.08,28.5
2013,37000,1,1,23.59,67.04,5.75
2014,30000,3,1,19.4,86.8,3.2
2018,12831,3,0,21.4,83.1,9.89
2018,13102,3,1,21.1,55.2,4.06
2019,24950,1,1,20.37,108.45,13.37
2016,34267,3,1,22.74,47.3,3.74
2015,33000,1,0,16.8,150.0,22.0
2007,55100,3,1,18.9,67.1,1.45
2008,40000,3,1,17.7,78.0,2.0
2017,31841,0,1,15.1,73.0,4.7
2014,15000,3,1,13.7,98.79,3.75
2016,82756,1,1,15.96,62.1,7.7
2014,20600,3,1,21.1,55.2,2.6
2017,29952,3,0,13.0,121.3,13.77
2017,15000,3,1,16.09,103.5,7.1
2008,61938,3,0,12.9,130.0,2.65
2014,67000,1,1,22.3,74.0,2.5
2013,61672,1,1,16.0,140.0,7.53
2017,26185,3,1,18.6,81.83,7.98
2014,38000,1,0,14.16,174.3,39.0
2011,67000,3,1,18.5,85.8,2.25
2010,66000,3,1,13.17,114.0,3.85
2015,80883,1,1,12.8,102.0,13.5
2016,80219,1,1,27.62,47.0,3.5
2018,12923,1,1,25.1,88.5,8.92
2016,86642,1,0,15.17,181.0,20.37
2016,19235,1,0,21.76,190.0,36.5
2016,6800,3,1,18.6,81.83,7.2
2012,82749,1,1,19.01,108.45,5.99
2016,51000,1,1,24.4,71.0,5.25
2014,31465,1,1,22.7,89.84,6.5
2013,76476,3,1,16.47,73.9,4.4
2017,14000,1,1,24.0,70.0,4.6
2013,47000,1,1,21.12,88.8,2.95
2011,48466,3,1,17.0,118.0,3.26
2008,46000,3,1,17.92,62.1,2.22
2017,25142,1,1,28.09,88.5,8.26
2013,69000,1,1,12.55,169.0,14.45
2018,26405,3,0,12.6,191.34,51.43
2014,45000,1,1,15.8,170.0,23.0
2012,64284,1,1,17.72,108.49,5.5
2015,27000,3,1,18.9,82.0,4.5
2018,3678,3,1,18.16,86.8,6.8
2013,21000,3,1,16.8,138.02,8.75
2015,67000,1,1,19.87,83.8,7.0
2015,24000,1,0,15.68,177.0,33.5
2011,75000,1,1,20.0,68.0,2.25
2017,47198,1,1,12.55,168.5,28.42
2012,52000,1,1,22.07,73.9,2.75
2011,91000,1,1,23.2,73.94,3.0
2013,60000,1,1,23.08,63.1,3.55
2013,37873,1,1,22.32,126.32,4.8
2011,31000,3,0,10.8,150.0,13.5
2016,32000,1,0,17.01,126.2,15.5
2010,59000,3,1,19.81,68.05,2.32
2016,35437,1,0,20.0,136.0,18.58
2014,98000,3,1,16.02,93.7,5.5
2006,72000,1,1,18.7,66.0,3.2
2015,79000,3,1,18.0,86.7,4.0
2013,66012,3,1,15.5,103.3,4.15
2014,35000,3,0,16.5,86.8,4.25
2011,75000,3,1,18.9,67.1,2.6
2008,80000,3,0,12.1,164.7,3.43
2012,32717,3,1,18.6,79.4,2.55
2017,25000,1,0,12.55,168.5,32.0
2014,79000,1,1,22.7,89.84,6.25
2010,86000,1,1,17.8,75.0,3.6
2015,25000,3,1,17.3,117.3,4.25
2017,8500,3,1,18.9,82.0,4.8
2015,34000,1,0,16.0,140.0,13.0
2012,41629,3,1,14.83,105.0,2.25
2009,80227,3,1,17.92,62.1,2.3
2019,8587,3,1,15.29,121.3,13.56
2017,30000,1,1,15.4,120.0,12.25
2013,64186,1,1,20.5,103.5,3.76
2015,76427,1,1,19.01,108.45,8.58
2013,27075,3,1,17.6,88.73,4.95
2012,30000,3,1,22.5,67.04,3.3
2016,69434,3,1,15.8,121.3,8.0
2014,56000,3,1,23.1,67.04,2.79
2017,49275,1,0,12.7,187.7,45.64
2014,8700,3,1,18.6,76.8,2.55
2014,18000,3,1,25.4,37.5,1.0
2017,41041,1,0,17.68,174.33,37.56
2009,80464,1,0,11.0,198.5,9.29
2019,20667,3,1,22.0,81.8,6.37
2013,60283,3,1,14.6,112.0,2.98
2017,31696,3,1,20.4,81.8,5.75
2010,100000,1,1,11.5,171.0,13.0
2014,13361,3,1,16.02,93.7,6.8
2010,48394,3,0,12.05,154.0,10.49
2014,47399,3,1,16.02,93.7,5.6
2010,69000,3,0,16.8,118.0,2.85
2013,65278,1,1,14.66,194.3,8.36
2012,107000,1,1,17.8,67.0,3.0
2015,41950,3,0,18.0,117.3,9.6
2012,109000,1,1,13.0,168.5,13.25
2016,9000,3,1,18.0,86.7,5.75
2014,43900,1,1,22.54,88.73,6.75
2013,64000,1,1,18.2,73.8,4.85
2009,77652,3,0,12.6,103.2,2.85
2012,55000,1,1,12.99,100.0,9.51
2012,59900,1,0,18.48,177.0,18.5
2015,73539,1,1,19.01,108.45,6.75
2017,31645,1,0,20.68,190.0,29.4
2009,69690,3,1,17.7,78.0,3.29
2016,41000,1,1,28.09,88.5,9.5
2010,109200,3,1,17.5,85.8,2.2
2012,80000,1,1,15.1,140.0,6.5
2007,51000,3,1,13.5,130.0,4.9
2013,105000,1,1,25.47,88.5,6.75
2017,31000,1,1,21.13,108.4,10.5
2015,50000,1,1,20.14,88.8,6.2
2009,48000,1,0,17.0,105.0,5.0
2007,35000,1,1,19.2,65.0,2.3
2016,100200,1,0,11.36,171.5,17.0
2014,47000,1,0,18.88,184.0,25.5
2015,63642,1,1,27.3,98.6,5.65
2015,62550,1,1,25.8,98.6,5.6
2015,37340,1,0,16.36,187.7,29.98
2016,38461,1,1,26.59,74.0,7.39
2018,29000,1,1,17.1,170.0,19.0
2010,31000,3,1,12.5,132.0,5.0
2011,42086,3,1,17.0,118.0,3.35
2013,49000,3,1,18.6,85.8,4.45
2019,77240,1,0,22.32,126.32,8.31
2012,105000,1,1,15.96,62.1,6.0
2014,35000,1,1,22.9,74.0,5.25
2018,33558,1,1,20.14,88.0,8.12
2012,60271,1,1,13.6,63.0,6.12
2017,45366,1,1,25.1,98.6,10.88
2014,9500,3,1,18.2,82.5,3.5
2016,42362,3,1,18.6,81.83,6.15
2016,21000,1,0,17.05,184.0,33.0
2012,15200,1,0,15.06,177.0,13.5
2015,43690,1,0,12.55,168.5,17.11
2013,53073,1,1,20.77,88.76,5.95
2015,59000,3,1,18.5,80.0,5.75
2014,55000,1,1,20.45,83.8,4.75
2013,80430,1,1,17.21,100.0,3.3
2013,71932,1,0,12.55,168.5,16.5
2011,81759,1,1,19.3,73.9,4.39
2018,52010,1,1,25.2,74.0,6.2
2016,58953,3,0,13.53,177.01,24.22
2008,93000,1,1,10.5,107.2,5.45
2016,10000,1,0,16.36,187.7,44.0
2019,40674,1,0,11.36,171.5,24.82
2015,50000,1,0,19.3,141.0,11.69
2018,1331,3,0,14.28,138.03,20.0
2010,60000,3,1,19.7,35.0,1.45
2018,10003,1,0,17.9,170.0,48.5
2016,25000,1,0,21.5,108.5,9.45
2015,73000,1,1,16.0,140.0,12.5
2014,59962,1,1,20.45,83.8,6.9
2012,72000,1,1,22.32,126.32,5.8
2015,35000,1,1,15.4,120.0,8.5
2017,38056,1,1,23.9,126.2,10.7
2010,64236,3,1,14.7,76.0,2.44
2014,7400,3,1,19.1,82.0,4.35
2017,52000,1,1,13.68,147.8,17.5
2015,68764,3,1,21.1,55.2,2.9
2013,64000,1,1,22.07,73.9,2.9
2016,21558,1,1,24.3,88.5,8.9
2013,37500,1,0,18.88,184.0,16.75
2016,14077,3,1,21.1,55.2,3.95
2009,70000,3,1,17.0,118.0,2.1
2011,54316,3,1,12.8,177.6,4.29
2009,90764,1,1,14.0,112.0,3.85
2016,51884,1,1,16.0,140.0,12.46
2014,67407,1,1,21.27,88.76,4.65
2014,107825,1,1,13.0,168.5,20.5
2006,82453,1,1,13.6,63.0,2.9
2007,30441,3,1,15.9,85.0,1.45
2016,11000,1,0,20.7,113.98,29.5
2015,61000,1,0,15.73,174.33,25.0
2013,48454,3,1,17.0,80.0,3.5
2017,37000,1,1,14.1,154.0,11.25
2017,32249,1,1,21.9,98.6,10.79
2013,58000,1,1,19.33,138.03,5.9
2017,28360,3,1,19.1,81.86,5.12
2017,7000,3,1,20.89,81.8,5.7
2016,19658,1,0,18.12,190.0,35.84
2007,92000,3,1,13.8,70.0,1.25
2013,25000,3,1,20.36,78.9,2.65
2016,37882,1,1,22.32,126.3,9.19
2014,69330,1,0,16.07,181.0,23.5
2011,61000,3,0,12.3,185.0,12.5
2010,35000,3,1,18.6,79.4,1.5
2012,72450,1,1,15.1,140.0,8.1
2017,36381,1,1,28.09,88.5,9.75
2017,25559,1,0,19.71,201.15,37.93
2015,94000,1,0,11.5,169.0,20.5
2011,64357,3,1,24.07,67.1,2.75
2009,47000,1,1,21.9,90.0,2.8
2017,18000,3,0,16.0,117.3,9.25
2007,89000,3,1,13.4,125.0,3.0
2014,49964,1,0,17.68,174.33,23.89
2014,35000,1,1,12.99,100.6,12.75
2014,64000,1,1,24.0,70.0,4.15
2013,36000,3,0,14.8,105.0,4.65
2012,78600,1,1,12.8,102.0,8.9
2015,65000,1,1,23.2,73.94,3.27
2016,21000,3,1,18.6,81.83,6.3
2017,18108,1,1,24.3,88.5,11.31
2014,58407,3,1,17.4,117.3,6.16
2014,49500,3,1,20.73,91.1,6.0
2013,37199,3,0,17.5,99.6,5.43
2012,62000,1,1,22.07,73.9,4.65
2015,59000,1,1,20.77,88.8,7.5
2015,60000,1,1,26.59,74.0,6.25
2007,39037,1,0,14.84,170.0,9.25
2013,17003,3,1,19.4,86.8,3.15
2008,80400,3,1,16.0,66.7,2.3
2012,75200,1,1,22.32,126.32,5.25
2017,41217,1,1,28.09,88.5,7.4
2006,98293,3,1,13.8,70.0,1.55
2017,54000,3,1,16.2,74.0,6.0
2016,17377,3,1,18.7,88.7,5.9
2013,33800,1,1,25.8,98.6,4.7
2015,86157,1,1,22.54,88.73,6.5
2014,55000,3,1,16.8,116.3,7.1
2010,53293,3,1,13.14,160.0,6.0
2017,38000,1,1,24.3,88.5,7.99
2009,64000,3,1,17.0,80.0,4.1
2017,25058,3,0,24.07,67.1,3.95
2016,36700,3,1,21.1,55.2,4.38
2011,35000,3,1,20.36,78.9,2.75
2014,48000,1,0,18.53,187.74,29.0
2013,62084,1,1,22.77,98.59,6.6
2012,39273,1,0,14.3,140.0,6.99
2017,64798,1,1,13.68,147.8,18.75
2010,100002,1,1,20.0,68.0,1.28
2006,78000,3,1,14.49,92.7,1.2
2013,57717,3,1,18.5,85.8,4.31
2011,109000,1,0,12.39,147.51,16.5
2017,74515,3,1,18.9,82.0,5.64
2013,13452,1,0,12.8,167.6,25.46
2017,37688,3,1,17.01,121.3,7.88
2008,64000,3,1,17.5,85.8,2.85
2011,100000,3,1,13.0,90.0,3.5
2014,75000,1,1,20.46,83.8,7.5
2012,86000,1,0,14.84,170.0,19.0
2015,41721,3,1,19.1,82.0,4.7
2017,13000,3,0,22.0,81.8,8.5
2013,38998,1,0,16.07,181.0,17.0
2017,54250,3,1,22.74,47.3,3.51
2013,45979,1,0,17.11,174.33,19.5
2012,37000,3,0,13.6,181.0,17.0
2012,40700,1,1,25.44,57.6,2.65
2015,43828,3,1,20.51,67.04,3.52
2016,53000,1,1,19.01,108.5,6.25
2015,100000,1,0,18.88,184.0,24.75
2015,19000,3,1,20.85,83.14,5.25
2016,84000,1,1,17.72,108.5,11.0
2018,37630,3,0,15.63,110.4,9.1
2010,67714,3,1,18.5,80.0,3.25
2017,32000,1,1,15.0,88.5,8.5
2010,51000,3,1,16.2,103.2,3.1
2015,58390,1,0,18.88,184.0,19.86
2017,14000,1,1,24.0,73.97,4.9
2014,55818,3,1,17.4,117.3,5.7
2012,52241,1,1,25.2,74.0,2.9
2018,25433,1,1,27.39,74.0,7.83
2015,40611,1,1,14.0,138.1,8.15
2008,72000,3,1,13.2,94.0,2.0
2016,54631,1,1,25.2,74.0,6.25
2016,24941,3,0,21.9,37.48,3.19
2017,63939,1,1,25.47,88.5,7.75
2014,35214,3,0,23.1,67.04,3.2
2015,63000,1,1,25.2,74.0,4.9
2012,121377,3,1,15.04,103.6,3.8
2009,100970,1,0,15.5,105.0,4.0
