,sentence,label
10,본 발명은 동과씨 추출물을 유효성분으로 포함하는 면역 증진용 식품 조성물에 관한 것이다.,1
11,"본 발명은 전처리한 우렁쉥이(Halocynthia roretzi) 껍질에 물 및 단백질 가수분해 효소를 첨가한 후 추출한 추출물을 이온교환 크로마토그래피를 이용하여 분리하는 단계를 포함하여 제조하는 것을 특징으로 하는 면역 활성이 증진된 우렁쉥이 추출물의 제조방법, 상기 방법으로 제조된 면역 활성이 증진된 우렁쉥이 추출물 및 상기 우렁쉥이 추출물을 함유하는 가공식품에 관한 것이다.",1
12,,1
13,"본 발명은 2종 이상의 생약 추출물을 유효성분으로 포함하는, 면역력 증진용 조성물 및 인터페론 감마 분비 촉진용 조성물에 관한 것이다. 상기 2종 이상의 추출물의 조합은 세포에 독성이 없으면서 체내 면역력을 촉진하는 인터페론 감마의 분비를 시너지하게 증가시키므로, 면역력 증진을 위하여 유용하게 사용될 수 있다.",1
14,"본 발명은 비박피 양파를 숙성 및 발효하여 섭취자의 면역력을 증강시키면서도 양파 섭취시 문제되는 특유의 맛과 향을 효과적으로 개선한 면역 증진용 발효 양파 조성물 제조방법 및 이를 이용한 음료 제조방법을 제공한다.  이를 위해, 본 발명의 실시예에 따른 면역 증진용 발효 양파 조성물 제조방법은, 박피하지 않은 양파를 세척하고 비가식부를 제거한 후 절단하는 전처리 단계; 상기 전처리 과정을 거친 양파에서 액상소재의 수득율을 증대시키기 위해 상기 양파를 마쇄하고, 소정 온도에서 열처리하고, 원심분리를 통해 양파 액상소재를 수득하는 양파 액상소재 제조 단계 및 상기 양파 액상소재에 대해 Lactobacillus plantarum를 접종하여 발효하고 소정의 후공정 과정을 통해 발효 양파 조성물을 제조하는 발효 양파 조성물 제조 단계를 포함하는 것을 특징으로 한다.  이를 통해, 양파에 함유된 면역력 강화 성분을 발효 및 숙성 과정을 통해 사용자에게 최대한 효율적으로 전달할 수 있다.",1
15,본 발명은 동과씨 추출물을 유효성분으로 포함하는 면역 증진용 식품 조성물에 관한 것이다.,1
16,"본 발명은 말초면역세포인 비장세포의 증식 활성을 보이고(도 1 및 도 2 참조), 방사선 조사에 의하여 억제된 비장세포의 증식을 촉진하며(도 3 참조), 방사선 조사에 의해 유발된 DNA 손상 회복과 세포자멸사 억제 활성(도 4 및 도 5 참조) 등을 지닌 제주조릿대 추출물을 이용한 방사선 방호 및 면역력 증진용 조성물을 개시한다.",1
17,본 발명은 동과 발효 추출물을 유효성분으로 포함하는 면역 증진용 식품 조성물에 관한 것이다.,1
18,"본 발명은 면역활성이 증진된 해삼 및 미역 혼합추출물의 제조방법에 관한 것으로, 본 발명의 해삼 및 미역 혼합추출물은 면역활성이 우수하므로, 면역 저하 및 면역계가 손상된 면역저하증의 예방, 억제 또는 치료에 우수한 면역증강 효능을 갖는 식품, 의약품 또는 사료첨가제로 이용될 수 있다.",0
19,"본 발명은 RAW 264.7 세포에서 NO 생성을 촉진하고 사이토카인과 PGE2의 생성을 촉진하며, 또한 iNOS와 PGE2 생성 효소인 COX-2, 그리고 MAPKs의 활성화와 관련된 인산화 P-ERK, P-JNK, P-p38의 생성을 촉진하는 활성을 가진 오크라 추출물을 이용한 면역 증진용 조성물을 개시한다.",0
20,"본 발명은 곡정초 추출물을 유효성분으로 함유하는 선천면역 증진 및 항바이러스용 약학 조성물, 곡정초 추출물을 유효성분으로 함유하는 선천면역 증진 및 항바이러스용 건강기능식품, 곡정초 추출물을 유효성분으로 함유하는 선천면역 증진 및 항바이러스용 사료 조성물 및 곡정초 추출물을 인간을 제외한 선천면역 증진이 필요한 동물에 투여하는 것을 포함하는 동물의 선천면역 증진 및 항바이러스 활성 증진 방법에 관한 것이다. 본 발명에 따른 선천면역 증진 및 항바이러스용 곡정초 조성물은 항바이러스 활성 및 선천면역 증진 효능을 나타내어, 박테리아 및 바이러스 감염성 질환의 예방 및 치료용으로 적용될 수 있고, 면역이 저하되거나 면역이 억제된 환자의 면역력 증진 및 조절을 위한 의약이나 건강기능식품, 및 동물의 항 질병 강화를 목적으로 하는 선천면역 증진 및 항바이러스용 사료 등으로 광범위하게 이용될 수 있다. 또한, 본 발명에 따른 선천면역 증진 및 항바이러스용 조성물은 독성이나 부작용을 거의 일으키지 않으므로 예방 목적으로 장기간 복용시에도 안심하고 사용할 수 있다.",0
21,"본 발명은 부평 추출물을 유효성분으로 함유하는 선천면역 증진 및 항바이러스용 약학 조성물, 부평 추출물을 유효성분으로 함유하는 선천면역 증진 및 항바이러스용 건강기능식품, 부평 추출물을 유효성분으로 함유하는 선천면역 증진 및 항바이러스용 사료 조성물 및 부평 추출물을 인간을 제외한 선천면역 증진이 필요한 동물에 투여하는 것을 포함하는 동물의 선천면역 증진 및 항바이러스 활성 증진 방법에 관한 것이다. 본 발명에 따른 선천면역 증진 및 항바이러스용 부평 조성물은 항바이러스 활성 및 선천면역 증진 효능을 나타내어, 박테리아 및 바이러스 감염성 질환의 예방 및 치료용으로 적용될 수 있고, 면역이 저하되거나 면역이 억제된 환자의 면역력 증진 및 조절을 위한 의약이나 건강기능식품, 및 동물의 항 질병 강화를 목적으로 하는 선천면역 증진 및 항바이러스용 사료 등으로 광범위하게 이용될 수 있다. 또한, 본 발명에 따른 선천면역 증진 및 항바이러스용 조성물은 독성이나 부작용을 거의 일으키지 않으므로 예방 목적으로 장기간 복용시에도 안심하고 사용할 수 있다.",0
22,"본 발명은 후박 추출물을 유효성분으로 함유하는 선천면역 증진 및 항바이러스용 약학 조성물, 후박 추출물을 유효성분으로 함유하는 선천면역 증진 및 항바이러스용 건강기능식품, 후박 추출물을 유효성분으로 함유하는 선천면역 증진 및 항바이러스용 사료 조성물 및 후박 추출물을 인간을 제외한 선천면역 증진이 필요한 동물에 투여하는 것을 포함하는 동물의 선천면역 증진 및 항바이러스 활성 증진 방법에 관한 것이다. 본 발명에 따른 선천면역 증진 및 항바이러스용 후박 조성물은 항바이러스 활성 및 선천면역 증진 효능을 나타내어, 박테리아 및 바이러스 감염성 질환의 예방 및 치료용으로 적용될 수 있고, 면역이 저하되거나 면역이 억제된 환자의 면역력 증진 및 조절을 위한 의약이나 건강기능식품, 및 동물의 항 질병 강화를 목적으로 하는 선천면역 증진 및 항바이러스용 사료 등으로 광범위하게 이용될 수 있다. 또한, 본 발명에 따른 선천면역 증진 및 항바이러스용 조성물은 독성이나 부작용을 거의 일으키지 않으므로 예방 목적으로 장기간 복용시에도 안심하고 사용할 수 있다.",0
23,본 발명은 해동피(Kalopanacis Cortex) 열수 추출물을 유효성분으로 포함하는 선천면역 증진용 약학 조성물 및 식품 조성물에 관한 것이다.,0
24,본 발명은 곽향(Agastachis Herba) 열수 추출물을 유효성분으로 포함하는 선천면역 증진용 약학 조성물 및 식품 조성물에 관한 것이다.,0
25,"본 발명은 감태 추출물을 함유하는 면역기능증진용 과립제 식품조성물 및 그 제조방법에 과한 것으로 본 발명에서는 용매추출 공정을 거친 감태 추출물을 이용하여 면역기능증진의 효능을 실험적으로 확인하고, 감태 추출물에 함유되어 있는 유용한 성분이 포함된 과립제 식품조성물을 제공함으로써 영양학적 및 기능적으로 향상시킬 수 있는 뛰어난 효과가 있다.",0
26,"본 발명은 형개 추출물을 유효성분으로 함유하는 선천면역 증진 및 항바이러스용 약학 조성물, 형개 추출물을 유효성분으로 함유하는 선천면역 증진 및 항바이러스용 건강기능식품, 형개 추출물을 유효성분으로 함유하는 선천면역 증진 및 항바이러스용 사료 조성물 및 형개 추출물을 인간을 제외한 선천면역 증진이 필요한 동물에 투여하는 것을 포함하는 동물의 선천면역 증진 및 항바이러스 활성 증진 방법에 관한 것이다. 본 발명에 따른 선천면역 증진 및 항바이러스용 형개 조성물은 항바이러스 활성 및 선천면역 증진 효능을 나타내어, 박테리아 및 바이러스 감염성 질환의 예방 및 치료용으로 적용될 수 있고, 면역이 저하되거나 면역이 억제된 환자의 면역력 증진 및 조절을 위한 의약이나 건강기능식품, 및 동물의 항 질병 강화를 목적으로 하는 선천면역 증진 및 항바이러스용 사료 등으로 광범위하게 이용될 수 있다. 또한, 본 발명에 따른 선천면역 증진 및 항바이러스용 조성물은 독성이나 부작용을 거의 일으키지 않으므로 예방 목적으로 장기간 복용시에도 안심하고 사용할 수 있다.",0
27,"본 발명은 상지 또는 상백피 추출물을 유효성분으로 함유하는 선천면역 증진 및 항바이러스용 약학 조성물, 상지 또는 상백피 추출물을 유효성분으로 함유하는 선천면역 증진 및 항바이러스용 건강기능식품, 상지 또는 상백피 추출물을 유효성분으로 함유하는 선천면역 증진 및 항바이러스용 사료 조성물 및 상지 또는 상백피 추출물을 인간을 제외한 선천면역 증진이 필요한 동물에 투여하는 것을 포함하는 동물의 선천면역 증진 및 항바이러스 활성 증진 방법에 관한 것이다. 본 발명에 따른 선천면역 증진 및 항바이러스용 상지 또는 상백피 조성물은 항바이러스 활성 및 선천면역 증진 효능을 나타내어, 박테리아 및 바이러스 감염성 질환의 예방 및 치료용으로 적용될 수 있고, 면역이 저하되거나 면역이 억제된 환자의 면역력 증진 및 조절을 위한 의약이나 건강기능식품, 및 동물의 항 질병 강화를 목적으로 하는 선천면역 증진 및 항바이러스용 사료 등으로 광범위하게 이용될 수 있다. 또한, 본 발명에 따른 선천면역 증진 및 항바이러스용 조성물은 독성이나 부작용을 거의 일으키지 않으므로 예방 목적으로 장기간 복용시에도 안심하고 사용할 수 있다.",0
28,"본 발명은 소회향 추출물을 유효성분으로 함유하는 선천면역 증진 및 항바이러스용 약학 조성물, 소회향 추출물을 유효성분으로 함유하는 선천면역 증진 및 항바이러스용 건강기능식품, 소회향 추출물을 유효성분으로 함유하는 선천면역 증진 및 항바이러스용 사료 조성물 및 소회향 추출물을 인간을 제외한 선천면역 증진이 필요한 동물에 투여하는 것을 포함하는 동물의 선천면역 증진 및 항바이러스 활성 증진 방법에 관한 것이다. 본 발명에 따른 선천면역 증진 및 항바이러스용 소회향 조성물은 항바이러스 활성 및 선천면역 증진 효능을 나타내어, 박테리아 및 바이러스 감염성 질환의 예방 및 치료용으로 적용될 수 있고, 면역이 저하되거나 면역이 억제된 환자의 면역력 증진 및 조절을 위한 의약이나 건강기능식품, 및 동물의 항 질병 강화를 목적으로 하는 선천면역 증진 및 항바이러스용 사료 등으로 광범위하게 이용될 수 있다. 또한, 본 발명에 따른 선천면역 증진 및 항바이러스용 조성물은 독성이나 부작용을 거의 일으키지 않으므로 예방 목적으로 장기간 복용시에도 안심하고 사용할 수 있다.",0
29,"본 발명은 지구자 추출물을 유효성분으로 함유하는 선천면역 증진 및 항바이러스용 약학 조성물, 지구자 추출물을 유효성분으로 함유하는 선천면역 증진 및 항바이러스용 건강기능식품, 지구자 추출물을 유효성분으로 함유하는 선천면역 증진 및 항바이러스용 사료 조성물 및 지구자 추출물을 인간을 제외한 선천면역 증진이 필요한 동물에 투여하는 것을 포함하는 동물의 선천면역 증진 및 항바이러스 활성 증진 방법에 관한 것이다. 본 발명에 따른 선천면역 증진 및 항바이러스용 지구자 조성물은 항바이러스 활성 및 선천면역 증진 효능을 나타내어, 박테리아 및 바이러스 감염성 질환의 예방 및 치료용으로 적용될 수 있고, 면역이 저하되거나 면역이 억제된 환자의 면역력 증진 및 조절을 위한 의약이나 건강기능식품, 및 동물의 항 질병 강화를 목적으로 하는 선천면역 증진 및 항바이러스용 사료 등으로 광범위하게 이용될 수 있다. 또한, 본 발명에 따른 선천면역 증진 및 항바이러스용 조성물은 독성이나 부작용을 거의 일으키지 않으므로 예방 목적으로 장기간 복용시에도 안심하고 사용할 수 있다.",0
30,"본 발명은 왕불유행 추출물을 유효성분으로 함유하는 선천면역 증진 및 항바이러스용 약학 조성물, 왕불유행 추출물을 유효성분으로 함유하는 선천면역 증진 및 항바이러스용 건강기능식품, 왕불유행 추출물을 유효성분으로 함유하는 선천면역 증진 및 항바이러스용 사료 조성물 및 왕불유행 추출물을 인간을 제외한 선천면역 증진이 필요한 동물에 투여하는 것을 포함하는 동물의 선천면역 증진 및 항바이러스 활성 증진 방법에 관한 것이다. 본 발명에 따른 선천면역 증진 및 항바이러스용 왕불유행 조성물은 항바이러스 활성 및 선천면역 증진 효능을 나타내어, 박테리아 및 바이러스 감염성 질환의 예방 및 치료용으로 적용될 수 있고, 면역이 저하되거나 면역이 억제된 환자의 면역력 증진 및 조절을 위한 의약이나 건강기능식품, 및 동물의 항 질병 강화를 목적으로 하는 선천면역 증진 및 항바이러스용 사료 등으로 광범위하게 이용될 수 있다. 또한, 본 발명에 따른 선천면역 증진 및 항바이러스용 조성물은 독성이나 부작용을 거의 일으키지 않으므로 예방 목적으로 장기간 복용시에도 안심하고 사용할 수 있다.",0
31,"본 발명은 참모자반을 담수로 2 내지 3회 세척하는 단계; 상기 세척된 참모자반을 2~5일간 음건하는 단계; 상기 음건된 참모자반을 분쇄하여 0.01 μm 이상 0.5 μm 이하의 분말로 제조하는 단계; 상기 참모자반 분말을 50 이상 300 g/L의 밀도로 물에 침지하고 교반한 후, 이를 80 ℃ 이상 95 ℃ 이하의 열수로 1시간 내지 3시간 동안 환류 냉각 추출하는 단계; 상기 참모자반 환류 냉각 추출물을 감압여과하는 단계; 상기 참모자반 감압여과물을 에탄올 추출하는 단계; 상기 참모자반 에탄올 추출물을 조다당 침전물을 분리하는 단계;및 상기 조다당 침전물로부터 물 및 에탄올을 제거하는 단계를 포함하는, 면역 증진용 식품 조성물의 제조 방법에 대한 것이다.",0
32,"본 발명은 필발 추출물을 유효성분으로 함유하는 선천면역 증진 및 항바이러스용 약학 조성물, 필발 추출물을 유효성분으로 함유하는 선천면역 증진 및 항바이러스용 건강기능식품, 필발 추출물을 유효성분으로 함유하는 선천면역 증진 및 항바이러스용 사료 조성물 및 필발 추출물을 인간을 제외한 선천면역 증진이 필요한 동물에 투여하는 것을 포함하는 동물의 선천면역 증진 및 항바이러스 활성 증진 방법에 관한 것이다. 본 발명에 따른 선천면역 증진 및 항바이러스용 필발 조성물은 항바이러스 활성 및 선천면역 증진 효능을 나타내어, 박테리아 및 바이러스 감염성 질환의 예방 및 치료용으로 적용될 수 있고, 면역이 저하되거나 면역이 억제된 환자의 면역력 증진 및 조절을 위한 의약이나 건강기능식품, 및 동물의 항 질병 강화를 목적으로 하는 선천면역 증진 및 항바이러스용 사료 등으로 광범위하게 이용될 수 있다. 또한, 본 발명에 따른 선천면역 증진 및 항바이러스용 조성물은 독성이나 부작용을 거의 일으키지 않으므로 예방 목적으로 장기간 복용시에도 안심하고 사용할 수 있다.",0
33,"본 발명은 대청엽 추출물을 유효성분으로 함유하는 선천면역 증진 및 항바이러스용 약학 조성물, 대청엽 추출물을 유효성분으로 함유하는 선천면역 증진 및 항바이러스용 건강기능식품, 대청엽 추출물을 유효성분으로 함유하는 선천면역 증진 및 항바이러스용 사료 조성물 및 대청엽 추출물을 인간을 제외한 선천면역 증진이 필요한 동물에 투여하는 것을 포함하는 동물의 선천면역 증진 및 항바이러스 활성 증진 방법에 관한 것이다. 본 발명에 따른 선천면역 증진 및 항바이러스용 대청엽 조성물은 항바이러스 활성 및 선천면역 증진 효능을 나타내어, 박테리아 및 바이러스 감염성 질환의 예방 및 치료용으로 적용될 수 있고, 면역이 저하되거나 면역이 억제된 환자의 면역력 증진 및 조절을 위한 의약이나 건강기능식품, 및 동물의 항 질병 강화를 목적으로 하는 선천면역 증진 및 항바이러스용 사료 등으로 광범위하게 이용될 수 있다. 또한, 본 발명에 따른 선천면역 증진 및 항바이러스용 조성물은 독성이나 부작용을 거의 일으키지 않으므로 예방 목적으로 장기간 복용시에도 안심하고 사용할 수 있다.",0
34,"본 발명은 구맥 추출물을 유효성분으로 함유하는 선천면역 증진 및 항바이러스용 약학 조성물, 구맥 추출물을 유효성분으로 함유하는 선천면역 증진 및 항바이러스용 건강기능식품, 구맥 추출물을 유효성분으로 함유하는 선천면역 증진 및 항바이러스용 사료 조성물 및 구맥 추출물을 인간을 제외한 선천면역 증진이 필요한 동물에 투여하는 것을 포함하는 동물의 선천면역 증진 및 항바이러스 활성 증진 방법에 관한 것이다. 본 발명에 따른 선천면역 증진 및 항바이러스용 구맥 조성물은 항바이러스 활성 및 선천면역 증진 효능을 나타내어, 박테리아 및 바이러스 감염성 질환의 예방 및 치료용으로 적용될 수 있고, 면역이 저하되거나 면역이 억제된 환자의 면역력 증진 및 조절을 위한 의약이나 건강기능식품, 및 동물의 항 질병 강화를 목적으로 하는 선천면역 증진 및 항바이러스용 사료 등으로 광범위하게 이용될 수 있다. 또한, 본 발명에 따른 선천면역 증진 및 항바이러스용 조성물은 독성이나 부작용을 거의 일으키지 않으므로 예방 목적으로 장기간 복용시에도 안심하고 사용할 수 있다.",0
35,"본 발명은 보골지 추출물을 유효성분으로 함유하는 선천면역 증진 및 항바이러스용 약학 조성물, 보골지 추출물을 유효성분으로 함유하는 선천면역 증진 및 항바이러스용 건강기능식품, 보골지 추출물을 유효성분으로 함유하는 선천면역 증진 및 항바이러스용 사료 조성물 및 보골지 추출물을 인간을 제외한 선천면역 증진이 필요한 동물에 투여하는 것을 포함하는 동물의 선천면역 증진 및 항바이러스 활성 증진 방법에 관한 것이다. 본 발명에 따른 선천면역 증진 및 항바이러스용 보골지 조성물은 항바이러스 활성 및 선천면역 증진 효능을 나타내어, 박테리아 및 바이러스 감염성 질환의 예방 및 치료용으로 적용될 수 있고, 면역이 저하되거나 면역이 억제된 환자의 면역력 증진 및 조절을 위한 의약이나 건강기능식품, 및 동물의 항 질병 강화를 목적으로 하는 선천면역 증진 및 항바이러스용 사료 등으로 광범위하게 이용될 수 있다. 또한, 본 발명에 따른 선천면역 증진 및 항바이러스용 조성물은 독성이나 부작용을 거의 일으키지 않으므로 예방 목적으로 장기간 복용시에도 안심하고 사용할 수 있다.",0
36,"본 발명은 누로 추출물을 유효성분으로 함유하는 선천면역 증진 및 항바이러스용 약학 조성물, 누로 추출물을 유효성분으로 함유하는 선천면역 증진 및 항바이러스용 건강기능식품, 누로 추출물을 유효성분으로 함유하는 선천면역 증진 및 항바이러스용 사료 조성물 및 누로 추출물을 인간을 제외한 선천면역 증진이 필요한 동물에 투여하는 것을 포함하는 동물의 선천면역 증진 및 항바이러스 활성 증진 방법에 관한 것이다. 본 발명에 따른 선천면역 증진 및 항바이러스용 누로 조성물은 항바이러스 활성 및 선천면역 증진 효능을 나타내어, 박테리아 및 바이러스 감염성 질환의 예방 및 치료용으로 적용될 수 있고, 면역이 저하되거나 면역이 억제된 환자의 면역력 증진 및 조절을 위한 의약이나 건강기능식품, 및 동물의 항 질병 강화를 목적으로 하는 선천면역 증진 및 항바이러스용 사료 등으로 광범위하게 이용될 수 있다. 또한, 본 발명에 따른 선천면역 증진 및 항바이러스용 조성물은 독성이나 부작용을 거의 일으키지 않으므로 예방 목적으로 장기간 복용시에도 안심하고 사용할 수 있다.",0
37,"본 발명은 동과피 추출물을 유효성분으로 함유하는 선천면역 증진 및 항바이러스용 약학 조성물, 동과피 추출물을 유효성분으로 함유하는 선천면역 증진 및 항바이러스용 건강기능식품, 동과피 추출물을 유효성분으로 함유하는 선천면역 증진 및 항바이러스용 사료 조성물 및 동과피 추출물을 인간을 제외한 선천면역 증진이 필요한 동물에 투여하는 것을 포함하는 동물의 선천면역 증진 및 항바이러스 활성 증진 방법에 관한 것이다. 본 발명에 따른 선천면역 증진 및 항바이러스용 동과피 조성물은 항바이러스 활성 및 선천면역 증진 효능을 나타내어, 박테리아 및 바이러스 감염성 질환의 예방 및 치료용으로 적용될 수 있고, 면역이 저하되거나 면역이 억제된 환자의 면역력 증진 및 조절을 위한 의약이나 건강기능식품, 및 동물의 항 질병 강화를 목적으로 하는 선천면역 증진 및 항바이러스용 사료 등으로 광범위하게 이용될 수 있다. 또한, 본 발명에 따른 선천면역 증진 및 항바이러스용 조성물은 독성이나 부작용을 거의 일으키지 않으므로 예방 목적으로 장기간 복용시에도 안심하고 사용할 수 있다.",0
38,"본 발명은 패란 추출물을 유효성분으로 함유하는 선천면역 증진 및 항바이러스용 약학 조성물, 패란 추출물을 유효성분으로 함유하는 선천면역 증진 및 항바이러스용 건강기능식품, 패란 추출물을 유효성분으로 함유하는 선천면역 증진 및 항바이러스용 사료 조성물 및 패란 추출물을 인간을 제외한 선천면역 증진이 필요한 동물에 투여하는 것을 포함하는 동물의 선천면역 증진 및 항바이러스 활성 증진 방법에 관한 것이다. 본 발명에 따른 선천면역 증진 및 항바이러스용 패란 조성물은 항바이러스 활성 및 선천면역 증진 효능을 나타내어, 박테리아 및 바이러스 감염성 질환의 예방 및 치료용으로 적용될 수 있고, 면역이 저하되거나 면역이 억제된 환자의 면역력 증진 및 조절을 위한 의약이나 건강기능식품, 및 동물의 항 질병 강화를 목적으로 하는 선천면역 증진 및 항바이러스용 사료 등으로 광범위하게 이용될 수 있다. 또한, 본 발명에 따른 선천면역 증진 및 항바이러스용 조성물은 독성이나 부작용을 거의 일으키지 않으므로 예방 목적으로 장기간 복용시에도 안심하고 사용할 수 있다.",0
39,,0
40,"일 양상에 따른 조성물은 한국인 영유아 유산균으로 발효한 약콩 발효물을 포함하고 있는 것으로, 면역 세포의 사이토카인 생성을 증가시킴으로써 면역 기능을 증진시킬 수 있을 뿐만 아니라, 면역력을 강화시킬 수 있다.",0
41,"본 발명의 목적은 항균, 항산화, 그리고 면역증진 기능이 우수한 건강 식품의 개발을 위하여 프로폴리스와 식물 추출물을 혼합한 조성물과 그 제조 방법을 제공하는 것이며, 상기 혼합 조성물을 포함하는 환제, 정제, 캡슐, 음료 형태의 식품 제조 방법을 제공하는 것이다. 상기 프로폴리스와 식물혼합 추출물을 혼합하여 얻어진 식품 조성물을 항균, 항산화, 그리고 면역기능 증진 효능을 가지고 있어 각종 질환 예방 및 치료를 위한 건강식품의 원료로 활용할 수 있다. 특히 노화 및 활성산소에 의해 발생하는 당뇨, 암, 관절염, 심장질환 등 질환과 세균 및 바이러스 등에 의한 감염성 질병의 예방에 탁월한 효과가 있으며, 노인층을 대상으로 한 실버 식품에 유용하게 활용될 수 있다.",0
42,"본 발명은 활나물 추출물, 그를 함유하는 기능성 식품 또는 대장암 예방용 및 치료용 조성물에 관한 것이다.  본 발명의 활나물 추출물은 활나물을 줄기, 잎, 뿌리, 씨로 분리한 후 할로겐화 탄화수소계 유기용매 및 C  1  ∼ C  4  알코올의 혼합용매를 첨가하여 상온에서 3∼5일 방치하고, 2∼3회 반복 추출한 후 재결정법으로 분리 정제하여 제조되며, 상기 활나물 추출물이 항산화 활성과 더불어 항암 또는 면역기능 증진활성을 확인함으로써, 그를 유효성분으로 함유하는 기능성 식품 또는 대장암 예방용 및 치료용 조성물로 유용하게 활용할 수 있다.  활나물 추출물, 항암, 면역기능증진, 기능성식품, 대장암",0
43,"본 발명은 한약재 혼합물의 추출물을 유효성분으로 포함하는 면역활성 증진용 조성물에 관한 것으로, 보다 상세하게는 맥문동, 창출, 감초, 건강, 진피 및 용안육을 포함하는 것을 특징으로 하고, 이들 한약재들을 적절한 중량비로 혼합함으로써 면역과 관련된 사이토카인의 분비 및 면역세포의 유전자 발현에 영향을 주어 면역활성을 증진시키고자 하는데 그 목적이 있다.",0
44,"본 발명은 면역력 증진 활성이 강화된 홍도라지를 제조하는 방법을 제공하고, 홍도라지 농축액을 이용하여 면역 증진 기능성 식품을 제공함에 대한 것이다.",0
45,"본 발명은 쌍별귀뚜라미 (Gryllus bimaculatus)의 추출물을 포함하는, 선천성 면역 증진용 약학 조성물 및 식품 조성물에 관한 것이다.  쌍별귀뚜라미 물 추출물은 대식세포의 활성을 유도하며, 구체적으로, 대식세포에서 TNFα, IL-6, 또는 IL-1β의 분비를 유도하거나 또는 CD80 또는 CD86의 발현을 유도하여 선천성 면역을 증진하는 것을 특징으로 하는 바, 쌍별귀뚜라미 물 추출물을 이용하여 선천성 면역 증진용 약학 조성물 또는 식품 조성물로 개발이 가능하다.",0
